Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
073640,KR7073640005,테라사이언스,KOSDAQ,투자주의환기종목(소속부없음),1956,1,432,28.35,1554,1981,1550,50436410,92109686590,179196592800,91613800,KSQ
046970,KR7046970000,우리로,KOSDAQ,벤처기업부,2450,1,185,8.17,2280,2670,2250,43811107,109639906655,78521603300,32049634,KSQ
900310,HK0000341732,컬러레이,KOSDAQ,외국기업(소속부없음),1463,1,217,17.42,1238,1530,1212,33796082,48404803159,93692970525,64041675,KSQ
011930,KR7011930005,신성이엔지,KOSPI,,2805,2,-65,-2.26,2835,3080,2795,31376602,93198002105,577404063555,205848151,STK
277410,KR7277410007,인산가,KOSDAQ,벤처기업부,3300,1,280,9.27,3360,3510,3170,30620146,102903804670,119386043700,36177589,KSQ
027050,KR7027050004,코리아나,KOSDAQ,중견기업부,4600,1,180,4.07,4360,4925,4325,21045706,99244043495,184000000000,40000000,KSQ
022100,KR7022100002,포스코DX,KOSDAQ GLOBAL,우량기업부,42550,1,3500,8.96,37800,45350,37500,20120874,865951638950,6469077718950,152034729,KSQ
900300,HK0000312568,오가닉티코스메틱,KOSDAQ,투자주의환기종목(소속부없음),184,1,14,8.24,168,197,166,18108939,3347090404,45128480504,245263481,KSQ
004100,KR7004100004,태양금속,KOSPI,,3120,1,180,6.12,2980,3600,2930,17431082,58475055425,114504000000,36700000,STK
214680,KR7214680001,디알텍,KOSDAQ,벤처기업부,5320,1,130,2.5,4980,5690,4965,17358642,93011364070,384772654840,72325687,KSQ
